countrycode,countryname,adminone,adminlevel,date,datatype,indicator name,population,prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#date,#data+type,#indicator+name,#population,#indicator+prevalence
NGA,Nigeria,,national,2025-02-01,MIXED,fcs,96234381,0.47462561693959215
NGA,Nigeria,,national,2025-02-01,MIXED,rcsi,57726896,0.28470764131592097
NGA,Nigeria,,national,2025-02-01,MIXED,health access,32303595,0.5028291615272338
NGA,Nigeria,,national,2025-02-01,MIXED,market access,34584483,0.216012626246349
NGA,Nigeria,,national,2025-01-31,MIXED,fcs,96337948,0.4751364068543689
NGA,Nigeria,,national,2025-01-31,MIXED,rcsi,58011107,0.2861093630271669
NGA,Nigeria,,national,2025-01-31,MIXED,health access,32040902,0.502090044987538
NGA,Nigeria,,national,2025-01-31,MIXED,market access,34363657,0.21463333664601794
NGA,Nigeria,,national,2025-01-30,MIXED,fcs,96383834,0.4753627154857809
NGA,Nigeria,,national,2025-01-30,MIXED,rcsi,57866662,0.2853969638146771
NGA,Nigeria,,national,2025-01-30,MIXED,health access,31959866,0.4997678140959051
NGA,Nigeria,,national,2025-01-30,MIXED,market access,34378446,0.21472571444357597
NGA,Nigeria,,national,2025-01-29,MIXED,fcs,96330684,0.475100580983764
NGA,Nigeria,,national,2025-01-29,MIXED,rcsi,57623308,0.28419674782965704
NGA,Nigeria,,national,2025-01-29,MIXED,health access,32039815,0.4980011274417795
NGA,Nigeria,,national,2025-01-29,MIXED,market access,34512696,0.21556423190198726
NGA,Nigeria,,national,2025-01-28,MIXED,fcs,96386041,0.47537360035588344
NGA,Nigeria,,national,2025-01-28,MIXED,rcsi,57441542,0.2833002788122627
NGA,Nigeria,,national,2025-01-28,MIXED,health access,32056902,0.4982293320283427
NGA,Nigeria,,national,2025-01-28,MIXED,market access,34438830,0.2151028692905682
NGA,Nigeria,,national,2025-01-27,MIXED,fcs,96474783,0.47581128190797406
NGA,Nigeria,,national,2025-01-27,MIXED,rcsi,57130226,0.2817648794472771
NGA,Nigeria,,national,2025-01-27,MIXED,health access,31721477,0.49421428658108635
NGA,Nigeria,,national,2025-01-27,MIXED,market access,34099286,0.21298209780528846
NGA,Nigeria,,national,2025-01-26,MIXED,fcs,96422500,0.47555341525351347
NGA,Nigeria,,national,2025-01-26,MIXED,rcsi,57071304,0.28147427758221893
NGA,Nigeria,,national,2025-01-26,MIXED,health access,31446668,0.49130030726131696
NGA,Nigeria,,national,2025-01-26,MIXED,market access,33734608,0.21070434086153786
NGA,Nigeria,,national,2025-01-25,MIXED,fcs,96412834,0.47550574277756813
NGA,Nigeria,,national,2025-01-25,MIXED,rcsi,56840589,0.2803363968365401
NGA,Nigeria,,national,2025-01-25,MIXED,health access,31306433,0.49018595036065776
NGA,Nigeria,,national,2025-01-25,MIXED,market access,33400074,0.2086148615361586
NGA,Nigeria,,national,2025-01-24,MIXED,fcs,96747438,0.47715600153416005
NGA,Nigeria,,national,2025-01-24,MIXED,rcsi,56728014,0.2797811796857489
NGA,Nigeria,,national,2025-01-24,MIXED,health access,31211799,0.4911849208840611
NGA,Nigeria,,national,2025-01-24,MIXED,market access,33456538,0.20896753229795925
NGA,Nigeria,,national,2025-01-23,MIXED,fcs,96942888,0.47811995616105
NGA,Nigeria,,national,2025-01-23,MIXED,rcsi,56043321,0.27640429053072624
NGA,Nigeria,,national,2025-01-23,MIXED,health access,31159956,0.4924115673260573
NGA,Nigeria,,national,2025-01-23,MIXED,market access,33464421,0.2090167711407335
NGA,Nigeria,,national,2025-01-22,MIXED,fcs,96996336,0.4783835603917894
NGA,Nigeria,,national,2025-01-22,MIXED,rcsi,56225940,0.27730496297896373
NGA,Nigeria,,national,2025-01-22,MIXED,health access,31297294,0.4933232649152985
NGA,Nigeria,,national,2025-01-22,MIXED,market access,33857095,0.21146939067706483
NGA,Nigeria,,national,2025-01-21,MIXED,fcs,97022497,0.4785125941712396
NGA,Nigeria,,national,2025-01-21,MIXED,rcsi,56669056,0.2794904092594915
NGA,Nigeria,,national,2025-01-21,MIXED,health access,31320445,0.49412088277196325
NGA,Nigeria,,national,2025-01-21,MIXED,market access,33719148,0.21060777862759344
NGA,Nigeria,,national,2025-01-20,MIXED,fcs,97178796,0.4792834486559099
NGA,Nigeria,,national,2025-01-20,MIXED,rcsi,56557572,0.27894056858446536
NGA,Nigeria,,national,2025-01-20,MIXED,health access,31337263,0.494734930145098
NGA,Nigeria,,national,2025-01-20,MIXED,market access,33926602,0.21190351813212166
NGA,Nigeria,,national,2025-01-19,MIXED,fcs,97369057,0.4802218240921192
NGA,Nigeria,,national,2025-01-19,MIXED,rcsi,56528312,0.2787962468051091
NGA,Nigeria,,national,2025-01-19,MIXED,health access,31327602,0.49303233783234407
NGA,Nigeria,,national,2025-01-19,MIXED,market access,34200863,0.2136165416628158
NGA,Nigeria,,national,2025-01-18,MIXED,fcs,97539380,0.4810618272078834
NGA,Nigeria,,national,2025-01-18,MIXED,rcsi,56465095,0.27848446959852824
NGA,Nigeria,,national,2025-01-18,MIXED,health access,31208062,0.49026268215407753
NGA,Nigeria,,national,2025-01-18,MIXED,market access,34174810,0.21345381618539314
NGA,Nigeria,,national,2025-01-17,MIXED,fcs,97469175,0.48071559079252635
NGA,Nigeria,,national,2025-01-17,MIXED,rcsi,56740654,0.27984351985706585
NGA,Nigeria,,national,2025-01-17,MIXED,health access,31456753,0.4920908747164157
NGA,Nigeria,,national,2025-01-17,MIXED,market access,34155218,0.2133314372442865
NGA,Nigeria,,national,2025-01-16,MIXED,fcs,97615862,0.4814390474942639
NGA,Nigeria,,national,2025-01-16,MIXED,rcsi,56585550,0.2790785507168809
NGA,Nigeria,,national,2025-01-16,MIXED,health access,31522482,0.4922345440393525
NGA,Nigeria,,national,2025-01-16,MIXED,market access,34066715,0.2127786612902947
NGA,Nigeria,,national,2025-01-15,MIXED,fcs,97656043,0.48163721920499847
NGA,Nigeria,,national,2025-01-15,MIXED,rcsi,56530942,0.2788092328437133
NGA,Nigeria,,national,2025-01-15,MIXED,health access,31499209,0.4925750730375055
NGA,Nigeria,,national,2025-01-15,MIXED,market access,34224387,0.2137634711577258
NGA,Nigeria,,national,2025-01-14,MIXED,fcs,97608574,0.48140310325624514
NGA,Nigeria,,national,2025-01-14,MIXED,rcsi,56539710,0.2788524689563455
NGA,Nigeria,,national,2025-01-14,MIXED,health access,31454624,0.4909111395344239
NGA,Nigeria,,national,2025-01-14,MIXED,market access,34027205,0.2125318841969477
NGA,Nigeria,,national,2025-01-13,MIXED,fcs,97367196,0.48021266277131797
NGA,Nigeria,,national,2025-01-13,MIXED,rcsi,56672263,0.27950622458311697
NGA,Nigeria,,national,2025-01-13,MIXED,health access,31743637,0.4917213171482021
NGA,Nigeria,,national,2025-01-13,MIXED,market access,34191969,0.2135609902715673
NGA,Nigeria,,national,2025-01-12,MIXED,fcs,97788748,0.4822917170241923
NGA,Nigeria,,national,2025-01-12,MIXED,rcsi,56672392,0.27950684744603904
NGA,Nigeria,,national,2025-01-12,MIXED,health access,31807262,0.49400935330534906
NGA,Nigeria,,national,2025-01-12,MIXED,market access,34118409,0.2131015389178188
NGA,Nigeria,,national,2025-01-11,MIXED,fcs,97853800,0.4826125401999289
NGA,Nigeria,,national,2025-01-11,MIXED,rcsi,56678814,0.27953852648726857
NGA,Nigeria,,national,2025-01-11,MIXED,health access,31820825,0.4952707132763501
NGA,Nigeria,,national,2025-01-11,MIXED,market access,34016362,0.21246415946844452
NGA,Nigeria,,national,2025-01-10,MIXED,fcs,98094406,0.48379923664294666
NGA,Nigeria,,national,2025-01-10,MIXED,rcsi,56551880,0.27891249109914035
NGA,Nigeria,,national,2025-01-10,MIXED,health access,31859723,0.49331255867579205
NGA,Nigeria,,national,2025-01-10,MIXED,market access,34128837,0.21316667158118052
NGA,Nigeria,,national,2025-01-09,MIXED,fcs,98101922,0.4838362835441291
NGA,Nigeria,,national,2025-01-09,MIXED,rcsi,56767828,0.27997754136144604
NGA,Nigeria,,national,2025-01-09,MIXED,health access,31966743,0.492354182590516
NGA,Nigeria,,national,2025-01-09,MIXED,market access,34060934,0.21274256070898231
NGA,Nigeria,,national,2025-01-08,MIXED,fcs,98019922,0.4834318528053218
NGA,Nigeria,,national,2025-01-08,MIXED,rcsi,56383941,0.2780842161082306
NGA,Nigeria,,national,2025-01-08,MIXED,health access,32179259,0.4949280825653562
NGA,Nigeria,,national,2025-01-08,MIXED,market access,34054189,0.21270041618702512
NGA,Nigeria,,national,2025-01-07,MIXED,fcs,98212554,0.4843819178663705
NGA,Nigeria,,national,2025-01-07,MIXED,rcsi,56209359,0.27722318589189054
NGA,Nigeria,,national,2025-01-07,MIXED,health access,32100846,0.49466461737432516
NGA,Nigeria,,national,2025-01-07,MIXED,market access,33852709,0.21144199263327595
NGA,Nigeria,,national,2025-01-06,MIXED,fcs,98397621,0.48529466379082514
NGA,Nigeria,,national,2025-01-06,MIXED,rcsi,55993787,0.27615999005240255
NGA,Nigeria,,national,2025-01-06,MIXED,health access,32333841,0.49828384629341377
NGA,Nigeria,,national,2025-01-06,MIXED,market access,33857843,0.2114740592897488
NGA,Nigeria,,national,2025-01-05,MIXED,fcs,98823244,0.48739381993492226
NGA,Nigeria,,national,2025-01-05,MIXED,rcsi,55939105,0.2758902997637988
NGA,Nigeria,,national,2025-01-05,MIXED,health access,32213395,0.4977895510587272
NGA,Nigeria,,national,2025-01-05,MIXED,market access,33908449,0.21179014133444424
NGA,Nigeria,,national,2025-01-04,MIXED,fcs,98889256,0.48771939560454247
NGA,Nigeria,,national,2025-01-04,MIXED,rcsi,56053747,0.27645571130811153
NGA,Nigeria,,national,2025-01-04,MIXED,health access,32250320,0.49899968868647443
NGA,Nigeria,,national,2025-01-04,MIXED,market access,34184663,0.21351535856765183
NGA,Nigeria,,national,2025-01-03,MIXED,fcs,98821448,0.4873849682044905
NGA,Nigeria,,national,2025-01-03,MIXED,rcsi,55868044,0.2755398384545849
NGA,Nigeria,,national,2025-01-03,MIXED,health access,32014218,0.49655129889670657
NGA,Nigeria,,national,2025-01-03,MIXED,market access,33932937,0.21194309191561048
NGA,Nigeria,,national,2025-01-02,MIXED,fcs,98874590,0.48764708208523605
NGA,Nigeria,,national,2025-01-02,MIXED,rcsi,56037722,0.27637667639946006
NGA,Nigeria,,national,2025-01-02,MIXED,health access,32281040,0.4998650805162938
NGA,Nigeria,,national,2025-01-02,MIXED,market access,34006014,0.21239952049666688
NGA,Nigeria,,national,2025-01-01,MIXED,fcs,98846836,0.48751018120048684
NGA,Nigeria,,national,2025-01-01,MIXED,rcsi,55980655,0.2760952233491009
NGA,Nigeria,,national,2025-01-01,MIXED,health access,32252569,0.498307204977303
NGA,Nigeria,,national,2025-01-01,MIXED,market access,33970017,0.2121746947362003
NGA,Nigeria,,national,2024-12-31,MIXED,fcs,99242124,0.4894597319631069
NGA,Nigeria,,national,2024-12-31,MIXED,rcsi,56193882,0.2771468635780928
NGA,Nigeria,,national,2024-12-31,MIXED,health access,32511918,0.49973439154967547
NGA,Nigeria,,national,2024-12-31,MIXED,market access,34100821,0.21299168532334184
NGA,Nigeria,,national,2024-12-30,MIXED,fcs,99486351,0.4906642654576195
NGA,Nigeria,,national,2024-12-30,MIXED,rcsi,56253615,0.27744145540310894
NGA,Nigeria,,national,2024-12-30,MIXED,health access,32687245,0.5032676412365359
NGA,Nigeria,,national,2024-12-30,MIXED,market access,34367011,0.21465428903797887
NGA,Nigeria,,national,2024-12-29,MIXED,fcs,99212108,0.48931170296069765
NGA,Nigeria,,national,2024-12-29,MIXED,rcsi,56253469,0.27744073533467445
NGA,Nigeria,,national,2024-12-29,MIXED,health access,32598686,0.5019608106892202
NGA,Nigeria,,national,2024-12-29,MIXED,market access,34570495,0.21592524531218588
NGA,Nigeria,,national,2024-12-28,MIXED,fcs,99270318,0.4895987840825775
NGA,Nigeria,,national,2024-12-28,MIXED,rcsi,56346839,0.27790123389447347
NGA,Nigeria,,national,2024-12-28,MIXED,health access,32592498,0.5001347790236655
NGA,Nigeria,,national,2024-12-28,MIXED,market access,34519710,0.2156080420965539
NGA,Nigeria,,national,2024-12-27,MIXED,fcs,99417560,0.49032497803076136
NGA,Nigeria,,national,2024-12-27,MIXED,rcsi,56181887,0.27708769465878785
NGA,Nigeria,,national,2024-12-27,MIXED,health access,32621793,0.5003120918505373
